,Unnamed: 0,rank_order,rank,name,scores_overall,scores_overall_rank,scores_resources,scores_resources_rank,scores_engagement,scores_engagement_rank,scores_outcomes,scores_outcomes_rank,scores_environment,scores_environment_rank,nid,location,stats_fees_oos,stats_board,stats_salary,Chemical Engineering,Architecture,Psychology,General Engineering,Sociology,Electrical & Electronic Engineering,"Geology, Environmental, Earth & Marine Sciences",Computer Science,Chemistry,Accounting & Finance,"Art, Performing Arts & Design",Biological Sciences,Politics & International Studies (incl Development Studies),Civil Engineering,Agriculture & Forestry,Law,"Languages, Literature & Linguistics",Communication & Media Studies,Mechanical & Aerospace Engineering,Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Geography,"History, Philosophy & Theology",Mathematics & Statistics,Business & Management,Other Health,Archaeology,Education,Veterinary Science,Sport Science,latitude,longitude
578,578,579,501-600,SUNY Oswego,43.3-46.6,579,-,583,16.1,304,-,504,4.9,406,593720,New York,"$17,841","$13,740","$42,067",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,43.4520133,-76.54184509999999
579,579,580,501-600,SUNY Potsdam,43.3-46.6,580,14.9,315,-,654,-,749,5.0,385,593723,New York,"$17,871","$12,830","$37,900",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,44.6606505,-74.97047884
580,580,581,501-600,Sacred Heart University,43.3-46.6,581,-,564,-,655,17.3,371,-,720,592115,Connecticut,"$39,820","$14,770","$54,733",0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,41.22259745,-73.2444673
581,581,582,501-600,Saint Xavier University,43.3-46.6,582,-,584,-,606,-,492,6.4,198,592445,Illinois,"$33,380","$11,340","$45,267",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,41.70792405,-87.71463118
582,582,583,501-600,Salisbury University,43.3-46.6,583,-,698,-,710,18.9,304,-,496,592838,Maryland,"$18,622","$11,480","$48,167",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,38.34520265,-75.60669776
583,583,584,501-600,Sam Houston State University,43.3-46.6,584,-,739,16.7,151,-,425,6.3,212,594680,Texas,"$18,022","$9,178","$42,767",0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,30.713347100000004,-95.54491358
584,584,585,501-600,Schreiner University,43.3-46.6,585,-,474,-,558,-,630,4.9,407,594683,Texas,"$26,900","$10,152","$38,467",0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,30.03168835,-99.13014961
585,585,586,501-600,Sonoma State University,43.3-46.6,586,-,779,-,694,19.7,274,6.6,181,592040,California,"$19,604","$13,554","$46,200",0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,38.33982655,-122.6734192
586,586,587,501-600,South Dakota State University,43.3-46.6,587,-,502,16.8,130,-,612,-,691,594497,South Dakota,"$11,689","$8,563","$42,367",0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,44.32019135,-96.78399049
587,587,588,501-600,Southern Adventist University,43.3-46.6,588,-,510,16.2,277,-,646,5.4,333,594566,Tennessee,"$21,550","$6,750","$37,567",0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,35.04866285,-85.0507503
588,588,589,501-600,Southern Illinois University Edwardsville,43.3-46.6,589,-,494,-,560,-,543,5.0,387,592451,Illinois,"$11,134","$9,481","$41,267",0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,38.7926071,-89.99578734
589,589,590,501-600,University of Southern Mississippi,43.3-46.6,590,-,585,16.2,279,-,599,5.3,344,131782,Mississippi,"$10,218","$9,631","$36,033",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,31.3285925,-89.33647718
