name,latitude,longitude
"Colorado State University, Fort Collins",40.5709358,-105.0865526
University of Dallas,32.8487635,-96.92256763
Dordt University,43.08066095,-96.16404679
Edgewood College,43.0588111,-89.42122409
Florida Atlantic University,26.11940365,-80.14169191
Franklin College,39.47660655,-86.03725773
George Fox University,45.30480905,-122.9665773
Gordon College,42.5889838,-70.8200481
Hamline University,44.96649975,-93.16459929
Hampton University,37.0210096,-76.33862554
Hastings College,40.5943839,-98.36549671
University of Idaho,46.72379775,-117.020439
Iona College,40.9252494,-73.7882666
Kansas State University,39.2087029,-96.5884441
Kettering University,43.0140422,-83.71399843
King's College,41.2502745,-75.8794058
LIU Brooklyn,42.9020197,-85.6383068
Lawrence Technological University,42.4747547,-83.25028022
Le Moyne College,43.0481774,-76.08574048
Lewis University,41.6053085,-88.0795047
Lincoln Memorial University,36.57408885,-83.66338689
University of Lynchburg,37.39874285,-79.1840479
Marian University (Indiana),39.8118912,-86.20426576
Marist College,41.7225348,-73.9326626
Massachusetts College of Art and Design,42.33687295,-71.0993026
University of Massachusetts Boston,42.3140821,-71.03867655
McDaniel College,39.5852104,-77.00371453
Merrimack College,42.66688065,-71.12292178
Messiah University,40.15682595,-76.9863296
Metropolitan State University,44.9574968,-93.07383928
University of Michigan-Dearborn,42.3172294,-83.23193936
Milwaukee School of Engineering,43.04576595,-87.90793615
Mississippi State University,33.4387235,-88.79345874
University of Missouri-St Louis,38.70863975,-90.31171454
Montclair State University,40.86468785,-74.19692132
Morehouse College,33.7487107,-84.4157865
University of Nebraska-Lincoln,40.820739,-96.70049096
"University of Nevada, Las Vegas",36.0862687,-115.0167365
University of New Mexico (Main campus),35.08663275,-106.6202094
University of North Dakota,47.9280516,-97.07994395
North Dakota State University,46.897155,-96.81826543
University of North Florida,30.26872995,-81.50959362
North Park University,41.9751904,-87.70542005
University of North Texas,33.2098879,-97.15147475
Northeastern Illinois University,41.98026885,-87.71848508
Northern Illinois University,41.9370934,-88.7826337
Notre Dame de Namur University,37.5168814,-122.2849679
Nova Southeastern University,26.0800744,-80.2490195
Ouachita Baptist University,34.1250958,-93.0521174
College of the Ozarks,36.6175624,-93.2393482
Randolph-Macon College,37.76251065,-77.47954447
University of Rhode Island,41.4872969,-71.53446498
Roger Williams University,41.64921,-71.2619371
SUNY Buffalo State,42.9336278,-78.88394479
SUNY Plattsburgh,44.6921664,-73.46594127
Saint Francis University,40.5034672,-78.6382564
Saint Michael's College,44.49562315,-73.16530948
Salve Regina University,41.4738167,-71.3022474
San Francisco State University,37.7245167,-122.4800002
Shenandoah University,39.16630535,-78.15876381
Springfield College,42.1023742,-72.5579619
St Ambrose University,41.5392438,-90.58003912
St Bonaventure University,42.0766929,-78.48165938
St Catherine University,44.924437,-93.18228846
St Edward's University,30.2298438,-97.75464882
St John's University-New York,40.7299442,-73.9900726
St Norbert College,44.4439887,-88.0673452
Stevenson University,36.9972436,-122.0520804
University of Texas at El Paso,31.77570475,-106.5062875
Texas Tech University,33.59375255,-101.8995955
Trinity Christian College,41.66892775,-87.78340315
Tuskegee University,32.42985575,-85.70637327
Utah State University,41.75246665,-111.8088345
